dish_id,E_original,E_mc_mean,E_mc_median,E_mc_p5,E_mc_p25,E_mc_p75,E_mc_p95,E_90CI_width,E_relative_uncertainty
tabbouleh,0.0422978507033765,0.02430379902555493,0.023330079385228825,0.013080639710920649,0.018659583740168545,0.028831531690068836,0.03894310893393256,0.025862469223011914,1.1085461303396353
taco,0.418539769036379,0.32815347392678207,0.313196632926688,0.20224396384018964,0.2606987811145781,0.37878161629637774,0.5056169506195554,0.30337298677936575,0.968634253645946
takoyaki,0.1512882831212846,0.12151982105711456,0.1192377241201126,0.08480289306946368,0.10393816967728872,0.13652806550175664,0.165939137064173,0.08113624399470931,0.6804578382675079
tamale,0.1372645889738489,0.10528226914194436,0.1022161270708992,0.07144353878668261,0.08850797842373466,0.11890822710647775,0.14902870249520395,0.07758516370852134,0.7590305554690668
tandoori_chicken,0.2790571517430138,0.2194854800641575,0.2152222125692293,0.15292400679643714,0.1858896487862361,0.24768290587633315,0.30270039146658767,0.14977638467015053,0.6959150864689342
tapas,0.1942673219562087,0.15390896546669652,0.15141376440277174,0.1094241745525905,0.13270681055799138,0.1725056611988099,0.20644025837584443,0.09701608382325393,0.640734904160919
tempura,0.3320592974999239,0.273696925989945,0.26919615472454855,0.19053367380085498,0.23251579451447624,0.3086349940133625,0.37563195987206766,0.18509828607121268,0.6875963226912066
teriyaki,0.2907920050126571,0.22770055353714055,0.2237501400865655,0.1604033210277441,0.19553248556603672,0.2555376099471939,0.3087639658299001,0.14836064480215602,0.6630639191767995
thai_iced_tea,0.0243759548418201,0.01127406843019198,0.010597657247528439,0.004878313979287162,0.007907105678918135,0.013865068808488507,0.019966986734426345,0.015088672755139183,1.4237743684962192
tikka_masala,0.2352417448800396,0.18067087787977565,0.17705561639283388,0.12476736263539923,0.1536880446513668,0.20376259108010136,0.24739694783548324,0.12262958520008402,0.6926048870881641
tiramisu,0.1078809838214075,0.07402331631784714,0.0716950934747879,0.04264725334757691,0.05840721337133266,0.0868939352341399,0.11379984566680641,0.0711525923192295,0.9924332178219535
tom_kha,0.1858816088936304,0.14375997081796688,0.14108274190805786,0.10225064300873385,0.12390993189500414,0.1610386209486625,0.19419279018640312,0.09194214717766927,0.6516895400118251
